2022-11-26 02:00:00 TAI #####_____|__##_#___######|##__###########|##########
2022-11-26 02:00:01 TAI ##_______#|_#_############|#######_#######|##########
2022-11-26 02:00:02 TAI #_________|__#############|###############|##########
2022-11-26 02:00:03 TAI ###_______|____###########|###############|##########
2022-11-26 02:00:04 TAI ##________|_______________|___############|##########
2022-11-26 02:00:05 TAI ###_______|_______#_______|__#############|_##_######
2022-11-26 02:00:06 TAI ###__##___|______#_##___#_|__##___________|__########
2022-11-26 02:00:07 TAI ###___####|#########_#####|###############|##########
2022-11-26 02:00:08 TAI ##________|___############|###############|##########
2022-11-26 02:00:09 TAI ###_______|__#############|###############|##########
2022-11-26 02:00:10 TAI ###_______|__#############|###############|##########
2022-11-26 02:00:11 TAI ###_______|__#############|###############|##########
2022-11-26 02:00:12 TAI ###_______|__#############|###############|##########
2022-11-26 02:00:13 TAI ##________|_______________|__#############|##########
2022-11-26 02:00:14 TAI ###_______|___############|#######_#######|##########
2022-11-26 02:00:15 TAI ###_______|_______________|__#############|##########
2022-11-26 02:00:16 TAI ##________|_______________|_______________|_#########
2022-11-26 02:00:17 TAI ######____|__#############|###############|##########
2022-11-26 02:00:18 TAI ###_______|__#############|###############|##########
2022-11-26 02:00:19 TAI ##________|___############|###############|##########
2022-11-26 02:00:20 TAI ##________|___############|###############|##########
2022-11-26 02:00:21 TAI ####______|__#############|###############|##########
2022-11-26 02:00:22 TAI #####_____|__#############|###############|##########
2022-11-26 02:00:23 TAI ##________|__#############|###############|##########
2022-11-26 02:00:24 TAI ##________|_#_____________|__#############|##########
2022-11-26 02:00:25 TAI ####______|___############|###############|##########
2022-11-26 02:00:26 TAI ##________|_______________|_______________|__########
2022-11-26 02:00:27 TAI ####______|__#############|###############|##########
2022-11-26 02:00:28 TAI ###_______|__#############|###############|##########
2022-11-26 02:00:29 TAI ###_______|_______________|__#############|##########
2022-11-26 02:00:30 TAI ##________|__#############|###############|##########
2022-11-26 02:00:31 TAI #####_____|__#############|###############|##########
2022-11-26 02:00:32 TAI ###_______|___############|###############|##########
2022-11-26 02:00:33 TAI ##________|__#############|###############|##########
2022-11-26 02:00:34 TAI ##________|__#############|###############|##########
2022-11-26 02:00:35 TAI ###_______|___############|###############|##########
2022-11-26 02:00:36 TAI ##________|_______________|_______________|__########
2022-11-26 02:00:37 TAI ##________|_#________#____|_______________|__########
2022-11-26 02:00:38 TAI #####_____|__#############|###############|##########
2022-11-26 02:00:39 TAI ##________|__#############|###############|##########
2022-11-26 02:00:40 TAI ##________|__#############|###############|##########
2022-11-26 02:00:41 TAI ###_______|__#############|###############|##########
2022-11-26 02:00:42 TAI ##________|___############|###############|##########
2022-11-26 02:00:43 TAI ##________|__#############|###############|##########
2022-11-26 02:00:44 TAI ###_______|___############|###############|#__#######
2022-11-26 02:00:45 TAI #####_____|__#############|#############_#|##########
2022-11-26 02:00:46 TAI #####_____|____#____##____|___####_###__#_|__###_####
2022-11-26 02:00:47 TAI ##________|###############|###############|##_#######
2022-11-26 02:00:48 TAI ###_______|___####__#__###|###############|##########
2022-11-26 02:00:49 TAI ##________|__###########_#|###############|##########
2022-11-26 02:00:50 TAI ##___#____|___######_#####|###############|##########
2022-11-26 02:00:51 TAI ##________|__#############|###############|##########
2022-11-26 02:00:52 TAI ##________|___############|###############|##########
2022-11-26 02:00:53 TAI ##________|___############|#####__########|###__#####
2022-11-26 02:00:54 TAI #_#_______|_________#_____|__#####__######|##########
2022-11-26 02:00:55 TAI #####__###|###########_###|###############|#_########
2022-11-26 02:00:56 TAI _#_#____#_|_______####____|_____###_______|_#########
2022-11-26 02:00:57 TAI ####______|___############|###############|##########
2022-11-26 02:00:58 TAI ###_____##|_##############|###_#####_#####|##########
2022-11-26 02:00:59 TAI ##____#___|_______________|__#############|##########
2022-11-26 02:01:00 TAI ####______|_______________|_##############|##########
2022-11-26 02:01:01 TAI ##________|__#############|###############|##########
2022-11-26 02:01:02 TAI ##________|___############|###############|##########
2022-11-26 02:01:03 TAI ###_______|__#############|###############|##########
2022-11-26 02:01:04 TAI ##________|_______________|_##############|##########
2022-11-26 02:01:05 TAI ##______##|_______________|__#############|##########
2022-11-26 02:01:06 TAI ###_______|_______________|_______________|##########
2022-11-26 02:01:07 TAI ##________|__#############|###############|##########
2022-11-26 02:01:08 TAI ###_______|__#############|###############|##########
2022-11-26 02:01:09 TAI ####______|__#############|###############|##########
2022-11-26 02:01:10 TAI ###_______|_____##########|###############|##########
