2022-11-29 12:00:00 TAI ##_####__#|########_#####_|###__####_###_#|##_#######
2022-11-29 12:00:01 TAI #__#######|###############|##_############|####__#__#
2022-11-29 12:00:02 TAI #___#___##|#_########_##__|###############|####__####
2022-11-29 12:00:03 TAI ##________|___###########_|_##########____|___#######
2022-11-29 12:00:04 TAI #_#____###|#_#_#_#########|_##############|##########
2022-11-29 12:00:05 TAI ##_#__##__|_#___##########|_##_###########|####_#____
2022-11-29 12:00:06 TAI #___##_##_|##__#___##_##__|_#######_######|##__###_##
2022-11-29 12:00:07 TAI ####__####|##_############|#############_#|#___####__
2022-11-29 12:00:08 TAI #####_##__|###_###__######|####___########|#####_##__
2022-11-29 12:00:09 TAI ##########|__#########_###|#____########_#|######_###
2022-11-29 12:00:10 TAI #######__#|__##_##_#######|_#__###########|__#___####
2022-11-29 12:00:11 TAI ____###_#_|_____#__##____#|_####_#########|#___#####_
2022-11-29 12:00:12 TAI ___#____##|###############|###############|_#########
2022-11-29 12:00:13 TAI ###___##__|_____#__##_____|___############|##_#######
2022-11-29 12:00:14 TAI ######_#_#|_#############_|##########_####|#_########
2022-11-29 12:00:15 TAI ##########|#######_####__#|####__#########|#####_####
2022-11-29 12:00:16 TAI ##_#___##_|###___#########|#####____##__##|##########
2022-11-29 12:00:17 TAI #####____#|###############|#__############|##########
2022-11-29 12:00:18 TAI ###_______|___############|#####_#___#####|#######_##
2022-11-29 12:00:19 TAI ####__####|##########_####|#####_######_##|##_#######
2022-11-29 12:00:20 TAI _###___#__|#####_#########|#____##########|##########
2022-11-29 12:00:21 TAI ##________|____###########|###############|##########
2022-11-29 12:00:22 TAI ###_______|_##########__##|###############|_#########
2022-11-29 12:00:23 TAI ###_______|__##_##########|############_##|######__##
2022-11-29 12:00:24 TAI ########_#|####__#######_#|___####___#___#|##########
2022-11-29 12:00:25 TAI _##_______|#####_####_####|_########___###|##########
2022-11-29 12:00:26 TAI #_________|______##_______|_______###_____|___#######
2022-11-29 12:00:27 TAI ####______|___############|###############|##########
2022-11-29 12:00:28 TAI ##______#_|__#___#########|##############_|##########
2022-11-29 12:00:29 TAI #____#___#|_#____##_######|###__##########|#########_
2022-11-29 12:00:30 TAI ######_###|#_#######_#_###|##_############|##########
2022-11-29 12:00:31 TAI ####______|___###########_|##____#########|##########
2022-11-29 12:00:32 TAI ####______|___#__#########|###############|##########
2022-11-29 12:00:33 TAI #___#_____|___############|###############|##########
2022-11-29 12:00:34 TAI ###__##_##|#_###########__|##_######_#####|#####_#__#
2022-11-29 12:00:35 TAI ##______##|#######___#####|###############|##########
2022-11-29 12:00:36 TAI ##______#_|_____________#_|_______________|__########
2022-11-29 12:00:37 TAI ###_#____#|_______________|_______________|#_########
2022-11-29 12:00:38 TAI ____#_____|__#############|###############|#####__###
2022-11-29 12:00:39 TAI ##########|###_##########_|###____########|#___#___##
2022-11-29 12:00:40 TAI ##__######|###############|__########_####|_#########
2022-11-29 12:00:41 TAI ##_______#|###############|###############|##########
2022-11-29 12:00:42 TAI ##________|___###__#######|###############|##__######
2022-11-29 12:00:43 TAI #####_____|_#_###_########|########_######|##_######_
2022-11-29 12:00:44 TAI ######___#|########_#__###|#######_#######|#__#######
2022-11-29 12:00:45 TAI #######___|_##############|__#########__#_|_#########
2022-11-29 12:00:46 TAI _#______#_|_____####_##___|_____##___##_#_|___##_####
2022-11-29 12:00:47 TAI ####__####|###############|###############|#___######
2022-11-29 12:00:48 TAI #####_____|__#############|#####_#########|___###_##_
2022-11-29 12:00:49 TAI ####_##_##|###############|###_#__########|#####_####
2022-11-29 12:00:50 TAI ####_#_#__|#_#############|#############_#|#_#####___
