2023-01-04 11:00:00 TAI #___#####_|#######_#######|##############_|###__###_#
2023-01-04 11:00:01 TAI ####__#_##|_#########__#__|###############|___####_#_
2023-01-04 11:00:02 TAI #__#__#_##|#____##########|##############_|_#___#####
2023-01-04 11:00:03 TAI ####______|__##########___|##_############|##########
2023-01-04 11:00:04 TAI ###_______|__##__#########|###########__##|#_########
2023-01-04 11:00:05 TAI ##___#____|_##############|###############|###_####_#
2023-01-04 11:00:06 TAI #_##__###_|##____##__#___#|##_##_######__#|##########
2023-01-04 11:00:07 TAI ##_#_#__##|##_#######_#__#|##_####___#__##|##_#######
2023-01-04 11:00:08 TAI #__#__####|###############|#######_#######|##########
2023-01-04 11:00:09 TAI ###_______|___######_#####|###############|##########
2023-01-04 11:00:10 TAI #_________|__#############|###############|##########
2023-01-04 11:00:11 TAI ##________|__#############|###############|########_#
2023-01-04 11:00:12 TAI ###_______|____###########|##########__###|########__
2023-01-04 11:00:13 TAI ######___#|____####_____#_|#####_######__#|##########
2023-01-04 11:00:14 TAI ####______|___############|###############|##########
2023-01-04 11:00:15 TAI ##________|_______________|___############|##########
2023-01-04 11:00:16 TAI #####_____|_____#_________|_______________|__########
2023-01-04 11:00:17 TAI ##__#_____|__#############|###############|##########
2023-01-04 11:00:18 TAI ###_______|__############_|###############|##########
2023-01-04 11:00:19 TAI ###___##__|____###########|###############|##########
2023-01-04 11:00:20 TAI ####_____#|__#############|###############|##########
2023-01-04 11:00:21 TAI ####______|_##############|###############|##########
2023-01-04 11:00:22 TAI ##________|###############|###############|##########
2023-01-04 11:00:23 TAI ##________|__#############|###############|##########
2023-01-04 11:00:24 TAI ##________|_______________|___############|##########
2023-01-04 11:00:25 TAI #_________|__#############|###############|##########
2023-01-04 11:00:26 TAI ##________|##_____________|_____##________|__########
2023-01-04 11:00:27 TAI ######____|_##############|###############|##########
2023-01-04 11:00:28 TAI ###_______|___############|###############|##########
